distance_m,speed_mps
0.0,48.69471373678483
1.999030958406626,48.8591726591478
3.9981644784599037,49.01900225858369
5.997193543087649,49.17776223466014
7.996328960457963,49.33546581506955
9.995357024762063,49.49212596072338
11.994493472840068,49.64775537329061
13.993521455709983,49.80236650246352
15.992658023019231,49.95597155296285
17.99168668366117,50.10858249129357
19.99082262441146,50.26021105226211
21.989852669038477,50.41086874526527
23.98898728301912,50.56056686036054
25.988019331641862,50.70931647412702
27.987152002013666,50.85714296210945
29.98618660222078,51.00406074432527
31.98531677926922,51.15007996012856
33.984354413291804,51.29521056468543
35.983481614780366,51.43946233367009
37.982522698431296,51.58284486780756
39.981646501829154,51.72536759726895
41.98069138273684,51.8670397859252
43.9798114393489,52.00787053546482
45.97886040579193,52.14786878938087
47.97797642026944,52.28704333683232
49.97702969905246,52.4254028163845
51.976141433986264,52.56267652932258
53.97519919786367,52.69797245725762
55.97430647872655,52.83132855646284
57.973368837566106,52.96278176158067
59.9724715516595,53.09236802291053
61.97153871319264,53.22012234196507
63.97063668245447,53.34607880539202
65.9697095500247,53.47027061735265
67.96880188241184,53.59273013044181
69.96788134452858,53.71348887522907
71.96696707486495,53.83257758849546
73.96605243838059,53.95002624023543
75.96513217183865,54.06586405948958
77.96422159613724,54.18011955906937
79.96329719947063,54.29282055923135
81.96238981052151,54.40481453619936
83.96146223653552,54.51621398328222
85.96055792269833,54.6270241270436
87.9596272607731,54.73725012104057
89.9587255822065,54.84689704725734
91.95779226369854,54.95596991750288
93.95689268694088,55.06447367477337
95.95595724424928,55.17241319458079
97.95505924855566,55.2797932862483
99.95412207276216,55.38661869417386
101.95322214012205,55.49289409906271
103.9522865715323,55.59862411912977
105.9513805515523,55.70381331127289
107.9504510945425,55.80846617221772
109.9495407310356,55.91258713963512
111.94861587425254,56.01618059323185
113.94770391294402,56.11924338079108
115.94678069056,56.22175403655672
117.9458674359791,56.32371723698311
119.94494553568747,56.42513759675532
121.94403122735959,56.52601966993387
123.94311040892812,56.62636795107215
125.9421953114622,56.72618687630734
127.94127531416332,56.82548082442558
129.94035965083276,56.92425411790223
131.93944024043822,57.02251102391782
133.93852416421615,57.12025575535035
135.9376051799794,57.21749247174481
137.93668880426728,57.31422528026027
139.93577013525552,57.41045823659554
141.9348535522613,57.50619534589352
143.93393509778934,57.60144056362533
145.93301839159332,57.69619779645441
147.93210007146314,57.79047090308131
149.9311833098955,57.88426369506964
151.93026505627685,57.97760526852959
153.9293482926836,58.07049972655446
155.928430045519,58.16295040927018
157.92751332723986,58.25496061799662
159.9265950388327,58.34653361588141
161.9256784001352,58.43767262852048
163.92476003727904,58.5283808445656
165.92384350466185,58.61866141631923
167.92292503414637,58.70851746031701
169.92200862067818,58.79795205789834
171.9210900333207,58.88696825576503
173.92017374536246,58.97556906652873
175.91925502985788,59.06375746924707
177.91833886670298,59.15153640994897
179.91742001951587,59.23890880214937
181.91650397021482,59.3258775273536
183.91558500441948,59.41244543555167
185.91466905625333,59.49861534570272
187.9137499884553,59.58439004620984
189.91283417322046,59.6697722953856
191.91191496844525,59.75470611479513
193.91099928013887,59.83918835446667
195.9100799334403,59.92322250287403
197.90916427526093,60.00681200814233
199.9082448919205,60.08996027869878
201.90732922465682,60.17267068391002
203.90640985449005,60.25494655470626
205.90549419651143,60.3367911841925
207.9045748186734,60.41820782824736
209.9036591947127,60.49918081372427
211.90273972194277,60.57969012886198
213.90182338091668,60.65973949183162
215.90090449293837,60.73933257716522
217.8999867646678,60.81847301646577
219.89906931006968,60.89716439910235
221.89815077818207,60.65047814038819
223.89723422350613,60.33964244212399
225.89631540344405,60.02719716157456
227.8953991544651,59.71309722363286
229.8944802334705,59.39731626057719
231.89356411849354,59.0797358218682
233.89264525625433,58.76033587049407
235.89172908592164,58.4390916967635
237.89081027961,58.11598206231204
239.8898940578079,57.79098112481527
241.8889753088386,57.4640663235102
243.88805902744258,57.13521029201554
245.88714029942798,56.80438912981585
247.8862239849329,56.47157499440277
249.8853052012119,56.13674343858213
251.88438893735,55.79987763712541
253.88347006012154,55.46095797956331
255.88255389175987,55.11997161492654
257.8816349143122,54.77690001080102
259.8807188439232,54.4317142281425
261.8797997595438,54.08439359424852
263.8788837934863,53.73490699969059
265.87796459652304,53.38323134593611
267.8770487443402,53.02933316248419
269.8761294263143,52.67318674539531
271.8752136929481,52.31475604709196
273.8742942475008,51.95401252393056
275.87337864143336,51.59091730991741
277.87245906397345,51.22543876657137
279.8715435883847,50.85753493809003
281.87062387008115,50.48717080289445
283.86970853380114,50.11430100906431
285.8687886728859,49.73888682384181
287.8678734741509,49.36087915346135
289.8669534674445,48.98023519231408
291.8660384200315,48.59690170851771
293.8651182576426,48.21083137392442
295.864203361196,47.82196637931635
297.8632830459526,47.43025449369358
299.8623683004764,47.03563278405849
301.86144782601764,46.63804322690821
303.86053323751554,46.23781764870843
305.8596126038436,45.8349101442226
307.8586981822085,45.42924028685859
309.8577774433733,45.02072053671059
311.8568631370254,44.60926413451844
313.8559423449607,44.19478157877226
315.85502809666764,43.77717824421725
317.8541072552601,43.35635567996214
319.8531930540709,42.93221044013053
321.8522721587262,42.50463478362883
323.851358009939,42.07351519960812
325.8504370617163,41.6387331438947
327.8495229653314,41.2001635931726
329.8486019617587,40.75767565435473
331.8476879181296,40.31113105788351
333.84676685744137,39.86124744104453
335.8458528676253,39.40986518743446
337.84493174558025,38.95692790069467
339.8440178198245,38.50237646878892
341.84309662935755,38.04614984445117
343.84218276836685,37.58818400254705
345.84126149923213,37.12841266542691
